code,title,description,span,lithology
Qp,pluvial,"Well-sorted, unconsolidated silt and clay deposited in active playa lakes. This unit includes playas in the high plateau between Pleasant and Redlands Canyons. These plateau playas have been interpreted to be remnants of uplifted and eastward back-tilted stream valleys (Maxson, 1950).",Holocene,
Qpa,older alluvial,Dissected alluvium and fanglomerates that have well-developed pavement surfaces.,Pleistocene,
Qpl,older lake sediments,"Gravel deposits along the margins of the Panamint Range with evidence of wave action along paleo-shorelines during high-stand paleo-lakes, such as rounded clasts and tufa deposits.",Pleistocene,
Qps,washed surface,"Older sediments with surfaces modified by Pleistocene Panamint and Searles Lakes. These washed surfaces consist of numerous paleo-lake shoreline beaches and wave-cut terraces. The uppermost washed area is bound by the high-stand at 664 m elevation in Panamint Valley (Smith, 1977). These washed surfaces correlate with members A to B of the Searles Lake Formation (Smith, 2009).",Pleistocene,
Tbx,Noonday Dolomite,"Dominantly dolomite and dolomitic limestone, extensively metamorphosed adjacent to the Manly Peak quartz monzonite. Exposures on the western range flank are locally strongly brecciated and displaced down slope by extensional faulting or mass wasting. These rocks weather to a distinctive light-yellow color visible from a distance. Age interpreted from Macdonald et al. (2013).",Cryogenian,
Tg,Warm Spring canyon older fanglomerate,"Weakly cemented alluvial deposits now preserved on ridges and slopes 10s–100s of meters above active alluvial channels in the Warm Spring Canyon area. The best exposure of this is a coarse fanglomerate on the ridge northeast of Warm Spring Canyon that overlaps a small exposure of eroded Miocene volcanic rocks, which overlie the Warm Spring Canyon fault (Andrew, 2019). This exposure contains conspicuous boulder-sized subangular quartzite clasts. Previous workers interpreted this fault to be an intrusive contact (Wrucke, 1966; Wrucke et al., 2008). Npc OLDER CONGLOMERATE (Pliocene) – The oldest conglomerate found along the western flank of the Panamint Range is strongly deformed and tilted and is in fault contact with an underlying low-angle fault gouge zone. Strong calcite and silica cementation is notable in this unit. The strongly cemented and deformed conglomerates have tilts similar to those of Miocene volcanic and sedimentary rocks in the Argus and Slate Ranges and for units in the Nova Formation in the northern Panamint Range (Hodges et al., 1990; Snyder and Hodges, 2000). The clast types are predominantly the same as the local bedrock, mostly quartz feldspar gneiss and diabase.",Pliocene,
Tlc,Little Chief granite,"Rapakivi textured granitic porphyry with CA-TIMS zircon weighted mean 206Pb(Th-corrected)/238U age of 11.460 ± 0.023 Ma (Andrew, 2018). The map area only includes the southern intrusive phase, which has 5% mafic minerals of hornblende and biotite or just biotite with zoned plagioclase and unzoned sanidine in a fine-grained groundmass of quartz. A younger phase of intrusion, exposed just north of the map area, is distinguished by 10% mafic minerals (McDowell, 1974; Albee et al., 1981). The younger phase has a CA-TIMS zircon weighted mean 206Pb(Th-corrected)/238U age of 11.302 ± 0.026 Ma (Andrew, 2018). Nmp FELSIC PYROCLASTIC DEPOSIT (Miocene) – This unit is a conspicuous white tuffaceous bed within the otherwise dark-colored basaltic-andesite lava flow sequence interbedded in the Miocene volcanic section in Anvil Spring Canyon. The exposures in Warm Spring and Anvil Canyons are generally reworked tuffaceous deposits.",Miocene,
Ts,eastern Panamint fanglomerate,"Poorly cemented sand and gravel deposits deposited along the eastern Panamint Range, seen in the eastern Warm Spring and Anvil Spring Canyons in the map area. Clast size ranges from pebble to boulder in size. This sediment appears to be locally derived from the bedrock of the eastern Panamint Range.",Neogene,
Tv,andesite,"A sequence of basaltic-andesite lava flows with lesser amounts of basalt and andesite lava. This lava sequence is a stack of numerous 3-7 m thick lava flows of basaltic-andesite. This basaltic-andesite lava and the tuff assemblage correlates to the ~14 Ma volcanic sequences in the southern Panamint Range, Slate Range, and Owlshead Mountains (Wagner and Hsu, 1988; Luckow et al., 2005; Andrew and Walker, 2009). A latite flow near Warm Spring Canyon yielded a 40Ar/39Ar age from hornblende of 13.56 ± 0.82 Ma, and an overlying tuff gave a zircon fission-track age of 10.3 ± 0.5 Ma (Topping, 1993). The area south of Anvil Spring Canyon is interpreted by Wagner and Hsu (1988) as a large volcanic edifice. Related volcanic rocks in the Wingate Wash–Owlshead Mountains, southern Panamint Range, and Slate Range, yield 40Ar/39Ar ages of 12.1–14 Ma (Wagner and Hsu, 1988; Luckow et al., 2005; Andrew and Walker, 2009).",Miocene,
Tva,andesite,"A sequence of basaltic-andesite lava flows with lesser amounts of basalt and andesite lava. This lava sequence is a stack of numerous 3-7 m thick lava flows of basaltic-andesite. This basaltic-andesite lava and the tuff assemblage correlates to the ~14 Ma volcanic sequences in the southern Panamint Range, Slate Range, and Owlshead Mountains (Wagner and Hsu, 1988; Luckow et al., 2005; Andrew and Walker, 2009). A latite flow near Warm Spring Canyon yielded a 40Ar/39Ar age from hornblende of 13.56 ± 0.82 Ma, and an overlying tuff gave a zircon fission-track age of 10.3 ± 0.5 Ma (Topping, 1993). The area south of Anvil Spring Canyon is interpreted by Wagner and Hsu (1988) as a large volcanic edifice. Related volcanic rocks in the Wingate Wash–Owlshead Mountains, southern Panamint Range, and Slate Range, yield 40Ar/39Ar ages of 12.1–14 Ma (Wagner and Hsu, 1988; Luckow et al., 2005; Andrew and Walker, 2009).",Miocene,
Tvba,andesite,"A sequence of basaltic-andesite lava flows with lesser amounts of basalt and andesite lava. This lava sequence is a stack of numerous 3-7 m thick lava flows of basaltic-andesite. This basaltic-andesite lava and the tuff assemblage correlates to the ~14 Ma volcanic sequences in the southern Panamint Range, Slate Range, and Owlshead Mountains (Wagner and Hsu, 1988; Luckow et al., 2005; Andrew and Walker, 2009). A latite flow near Warm Spring Canyon yielded a 40Ar/39Ar age from hornblende of 13.56 ± 0.82 Ma, and an overlying tuff gave a zircon fission-track age of 10.3 ± 0.5 Ma (Topping, 1993). The area south of Anvil Spring Canyon is interpreted by Wagner and Hsu (1988) as a large volcanic edifice. Related volcanic rocks in the Wingate Wash–Owlshead Mountains, southern Panamint Range, and Slate Range, yield 40Ar/39Ar ages of 12.1–14 Ma (Wagner and Hsu, 1988; Luckow et al., 2005; Andrew and Walker, 2009).",Miocene,
Tvp,pyroclastic,This unit is a conspicuous white tuffaceous bed within the otherwise dark-colored basaltic-andesite lava flow sequence interbedded in the Miocene volcanic section in Anvil Spring Canyon. The exposures in Warm Spring and Anvil Canyons are generally reworked tuffaceous deposits.,Miocene,
Xb,biotite gneiss complex,"Alternating and complex relationships of dark-colored biotite paragneiss and quartzofeldspathic orthogneiss in Surprise Canyon. This unit is locally intruded by a quartz monzonitic rock, see also the Mesoproterozoic quartz monzonite unit described above. Labotka et al. (1980) interpret a felsic volcanic rock as protolith to the quartz-microcline-plagioclase-muscovite gneiss.",Paleoproterozoic,
Xm,allochthonous basement gneisses,"A package of steeply dipping, well-foliated and strongly metamorphosed gneisses is only exposed in one small area of western Middle Park Canyon structurally and stratigraphically below the Crystal Springs Formation but still in the hanging wall of the Goldbug thrust. Much of the exposure of this unit is a layered gneiss of quart-feldspar light bands alternating with hornblende-rich dark layers. The layering occurs on a millimeter scale and is locally intruded by chocolate bar-style boudinaged, fine-grained amphibolitic sills. Other sections of this basement unit are massive amphibolitic gneisses also intruded by boundinaged mafic sills. These steeply dipping are overlain by a section of less metamorphosed, layered quartz-feldspar gneiss correlated to the Crystal Spring Formation. This contact is interpreted to be a nonconformity of the feldspathic quartzite member of Crystal Spring Formation deposited on the erosionally beveled older gneiss.",Paleoproterozoic,
Xmg,World beater complex in Warm SPring Canyon,"Unit consists of gray, biotite-rich, quartz monzonitiic augen orthogneiss intruded by undeformed gray quartz monzonite (Lanphere et al., 1964). The augen are megacrysts of potassium feldspar up to 4 cm long. The gneiss contains inclusions of quartz-biotite-muscovite schist. The gneiss is intruded by undeformed, light gray equigranular to porphyritic quartz monzonite, crosscutting foliation and locally it is the dominant rock type. These two units are difficult to separate out and are thus mapped together as a unit. U-Pb zircon geochronology found ages for the gneiss and crosscutting intrusions of 1790 and 1350 Ma, respectively (Lanphere et al., 1964). Zircon U-Pb LA-ICPMS age of 1787.7 ± 1.6 Ma was obtained by Cobb (2015) from the same sample location as Lanphere et al. (1964).",Paleoproterozoic,
Xms,mica schist,"Biotite quartz-mica schist and associated metamorphic rocks (Wrucke et al., 2008) in northeastern Warm Spring Canyon are the oldest autochthonous units exposed in the map area. The igneous protolith of the Paleoproterozoic augen gneiss intruded the mica schist protolith and both were subsequently metamorphosed together.",Paleoproterozoic,
XYw,World Beater complex,"Unit consists of gray, biotite-rich, quartz monzonitiic augen orthogneiss intruded by undeformed gray quartz monzonite (Lanphere et al., 1964). The augen are megacrysts of potassium feldspar up to 4 cm long. The gneiss contains inclusions of quartz-biotite-muscovite schist. The gneiss is intruded by undeformed, light gray equigranular to porphyritic quartz monzonite, crosscutting foliation and locally it is the dominant rock type. These two units are difficult to separate out and are thus mapped together as a unit. U-Pb zircon geochronology found ages for the gneiss and crosscutting intrusions of 1790 and 1350 Ma, respectively (Lanphere et al., 1964). Zircon U-Pb LA-ICPMS age of 1787.7 ± 1.6 Ma was obtained by Cobb (2015) from the same sample location as Lanphere et al. (1964).",Paleoproterozoic,
Yb,Beck Spring Dolomite,Blue-gray sandy dolomite with massive bedding and oolites. The thickness varies from 300 m thick to absent at the erosional unconformity with the overlying Kingston Peak Formation. Thinly laminated textures occur near the top.,Stenian,
Ybq,"Beck Spring Dolomite, quartzite","Light yellow-gray and pale-red colored, feldspathic quartzite with minor amounts of conglomerate and dolomite (Wrucke, 1966). Commonly 20–30% feldspar grains. The lower two-thirds are medium coarse-grained, in ~60 cm thick beds, while the upper third is fine to medium-grained in beds ~30 cm thick. Cross-bedding is common in the lower part and ripple marks are common in the upper part. Thin (~3 cm thick) lenses of conglomerate occur in the lower 20 m. A pebble to cobble conglomerate in coarse-grained quartzose matrix is locally present along the basal contact. The pebbles are mostly milky quartz, but schist and granitic pebbles are locally abundant. Near the top there are lenses of brown dolomite averaging 9 cm thick and 100 cm long. This unit is 190 m thick in the less deformed eastern Panamint Range.",Stenian,
Yca,"Crystal Spring Formation, argillite member","Fine-grained, dark grayish purple to dark reddish-brown argillite in the lower two thirds with thin bedded siltite, silty argillite and minor dolomite in the upper third (Wrucke, 1966). Lighter color reduction spots are common in the lower unit. The undeformed thickness is about 80 m in the eastern Panamint Range.",Stenian,
Ycd,"Crystal Spring Formation, carbonate members","Combination of the two dolomite members of Wrucke (1966). The stromatolitic dolomite member is brownish-red, medium-grained dolomite with abundant stromatolites with interbedded brown-weathering sandy dolomite in the upper 25% of themember (Wrucke, 1966). Bedding is obscure, 1–10 m thick. Prominent cliff-former. The other member is a cherty dolomite: dominantly interbedded pale grayish-orange dolomite and brown to black chert, with lesser brown-weathering silty dolomite (Wrucke, 1966). The combined thickness is about 150 m where it is well exposed and relatively undeformed in the eastern Panamint Range.",Stenian,
Ycq,"Crystal Spring Formation, feldspathic quartzite member","Light yellow-gray and pale-red colored, feldspathic quartzite with minor amounts of conglomerate and dolomite (Wrucke, 1966). Commonly 20–30% feldspar grains. The lower two-thirds are medium coarse-grained, in ~60 cm thick beds, while the upper third is fine to medium-grained in beds ~30 cm thick. Cross-bedding is common in the lower part and ripple marks are common in the upper part. Thin (~3 cm thick) lenses of conglomerate occur in the lower 20 m. A pebble to cobble conglomerate in coarse-grained quartzose matrix is locally present along the basal contact. The pebbles are mostly milky quartz, but schist and granitic pebbles are locally abundant. Near the top there are lenses of brown dolomite averaging 9 cm thick and 100 cm long. This unit is 190 m thick in the less deformed eastern Panamint Range.",Stenian,
Ycs,"Crystal Spring Formation, siltite member","Finely laminated, very fine-grained, greenish- or purplish-black siltite with local thin beds of cream-gray chert (Wrucke, 1966). Small (<5 cm long) lenses of dolomite occur in the lower portion of this member. The base of this member is an unconformity (Wrucke, 1966). This unit is ~100 m- thick in the eastern Panamint Range.",Stenian,
Ycx,"Crystal Spring Formation, siltite member","Finely laminated, very fine-grained, greenish- or purplish-black siltite with local thin beds of cream-gray chert (Wrucke, 1966). Small (<5 cm long) lenses of dolomite occur in the lower portion of this member. The base of this member is an unconformity (Wrucke, 1966). This unit is ~100 m- thick in the eastern Panamint Range.",Stenian,
Yd,"Crystal Spring Formation, diabase","Sills and dikes of metamorphosed mafic intrusive rocks that intrude the Crystal Spring Formation and older metamorphic rocks. This rock is typically dark colored and often characterized by ophitic intergrowth of plagioclase and pyroxene. These sills in the Kingston Range that are dated at 1087 Ma (Heaman and Grotzinger, 1992).",Stenian,
Yg,monzogranite,Undeformed or weakly deformed leuco-monzogranite intruded into Paleoproterozoic gneiss below Crystal Spring Formation in Surprise Canyon. This granite may correlate to Jurassic leucogranites elsewhere in Surprise Canyon because the poorly exposed intrusive relationships are difficult to interpret.,Mesoproterozoic,
Zjl,"Johnnie Formation, lower member","Thick bedded dolomite and sandy dolomite interbedded with quartzite and dolomitic quartzite and overlain by dark-reddish-brown-weathering quartzite and pelite (Albee et al., 1981). 150–330 m thick (Labotka et al., 1980)", Cryogenian to Ediacara,
